Review Number,Title of Review,Review,Lemmatization,Semantic Analysis
85,Amazing movie,Best acting and story. This is an Oscar winning movie,best act and stori thi is an oscar win movi,Positive
86,Overhyped,I sat through this slowwwwww movie and would gladly have left half way into it. Its a boring movie until the last 5 minutes... overhyped as usual....the violence must have been cut out of the version i seen as i think i have seen more gore in a disney movie,i sat through thi slowwwwww movi and would gladli have left half way into it it a bore movi until the last 5 minut overhyp as usualth violenc must have been cut out of the version i seen as i think i have seen more more in a dinner movi,Negative
87,"Spectacular, awesome, fantastic","The reality, far from fiction!! That what's made the movie,,, the oscar winner actor made a new joker rivalry with heath ledger joker, better joker in some people opinion.. piece of art",the realiti far from fiction that what made the movi the oscar winner actor made a new joke rivalri with heath ledger joke better joke in some peopl opinion piec of art,Positive
88,The Snowflake Joker,"A mentally ill person without talents (or intelligence) cannot become a super villain just because he is angry. He will only be a mentally ill person with no talents (and intelligence) in anger. Nothing more. As a film, Joker lacks creativity or depth. In all senses. Unfortunately Joker did for the iconical character the same thing that Twilight did for vampire films.",a mental ill person without talent or intellig can not becom a super villain just becaus he is angri he will onli be a mental ill person with no talent and intellig in anger noth more as a film joke lack creativ or depth in all sens unfortun joke did for the iron charact the same thing that twilight did for empir film,Negative
89,Masterpiece,"Yesterday was that day, when I understand, that I have touched history. This movie will drag you in your deepest thoughts, in your darkest secrets and suffering. This masterpiece will grind you, like a meat grinder and you will watch it in silence and with open mouth. Like the whole cinema will. I don't like comics movie, marvel is very pompous, absurd and insipid. In my opinion. It's not an art, it's just an attraction. As DC movies was too. But now DC made history, the made art and made drama. To be more understandable. When you watch for example Avengers or League of Justice you are eating McDonald's hamburger. But when you watch Joker you are eating 1000 stake in the most luxurious restaurant in the world.",yesterday wa that day when i understand that i have touch histori thi movi will drag you in your deepest thought in your dark secret and suffer thi masterpiec will grind you like a meat grinder and you will watch it in silenc and with open mouth like the whole cinema will i dont like comic movi marvel is veri pompou absurd and insipid in my opinion it not an art it just an attract a do move wa too but now do made histori the made art and made drama to be more understand when you watch for exampl avenu or leagu of justic you are eat macdonald hamburg but when you watch joke you are eat 1000 stake in the most luxuri restaur in the world,Positive
90,My all-time favorite film,"An outstanding performance by Joaquin Phoenix which completely embodies Joker's character. This is a film which people, decades from now, will be watching and inevitably will be rendered speechless by how exceptional it is.",an outstand perform by joaquin phoenix which complet embodi joke charact thi is a film which peopl decad from now will be watch and inevit will be render speechless by how except it is,Positive
91,meh...,"Is it just me or does anyone over 30 see they kind of ripped off ""the King of Comedy (1982)""?",is it just me or doe anyon over 30 see they kind of grip off the king of comedi 1982,Neutral
92,Don't waste your time or money,"If you plan on watching this I would suggest skipping to the last 20 or 30mins. Otherwise it's completely boring, I thought people were saying this was suppose to be better then Heath Ledgers joker? Not to say this joker doesn't have potential but they just spent 90% of the movie showing that he has a mental issue.",if you plan on watch thi i would suggest ship to the last 20 or 30min otherwis it complet bore i thought peopl were say thi wa suppos to be better then heath ledger joke not to say thi joke doesn have potenti but they just spent 90 of the movi show that he ha a mental issu,Negative
93,The best thing DC has done since Dark Knight,"Joker is without a doubt my new favorite DC film. It's dark and gritty but with enough psychological twists that it keeps you guessing from beginning to end. Nothing can be taken at face value and the film forces you to think from beginning to end. Don't listen to the critics, this one is worth watching multiple times in theaters.",joke is without a doubt my new favorit do film it dark and gritti but with enough psycholog twist that it keep you guess from begin to end noth can be taken at face valu and the film forc you to think from begin to end dont listen to the critic thi one is worth watch multipl time in theater,Positive
94,Uncomfortably Satisfying,"To say it was satisfying would be somewhat misleading. Joaquin Phoenix makes you feel uncomfortable almost the entire time. I couldn't help thinking about Christian Bale in The Machinist and Robert De Niro in Taxi Driver. With those comparisons, clearly I have some high praise on the acting.\n\nThe film itself slowly builds momentum, but when it builds...it's really builds. Those looking for traditional comic book action may feel it moves a bit slow, but it's pace allows for the transformation to not feel superficial. When you walk out of the theater you won't know exactly how to feel, but you'll surely want to know how everyone else feels about it.",to say it wa satisfi would be somewhat mislead joaquin phoenix make you feel uncomfort almost the entir time i couldn help think about christian abl in the machin and robert de no in taxi driver with those comparison clearli i have some high prais on the act the film itself slowli build momentum but when it buildsit realli build those look for tradit comic book action may feel it move a bit slow but it pace allow for the transform to not feel superfici when you walk out of the theater you wont know exactli how to feel but you sure want to know how everyon els feel about it,Neutral
95,What a joke,"Heath great in dark Knight, even liked Jared Leto in suicide squad but after seeing the countless ad's for Joker definitely don't want to watch that even if it is free to watch rather than waste money on it at the cinema. Phoenix is too depressing to watch & most of the time i want to fast forward thru his performance as too much drama to sit & watch without wanting to get up and do something like make a cup of tea. Personally would have liked to see more of Jared Leto's character of him and tougue in cheek type with Harvey Quinn with a cameo.",heath great in dark knight even like dare let in suicid squad but after see the countless as for joke definit dont want to watch that even if it is free to watch rather than wast money on it at the cinema phoenix is too depress to watch most of the time i want to fast forward thou hi perform as too much drama to sit watch without want to get up and do someth like make a cup of tea person would have like to see more of dare let charact of him and tongu in cheek type with harvey quit with a cameo,Negative
96,Glad I didn't waste my money on this movie,"I was very excited about this movie when it came out in theaters and after all the raving reviews I was even more excited. I never got a chance to watch in the theater and I'm very glad I didn't. This movie was 2 hours, that felt like 4, of flat boring plot. Literally nothing happens in the movie. All it is a very mentally ill insecure man talking to a therapist, laughing, and killing people. Arthur's laugh is terrible and annoys me throughout the whole movie. Arthur has no depth or personality. This movie was so boring I started falling asleep. Anyone who things those movie is a deep and meaningful masterpiece clearly has not seen other movies. I can list off so many other movies that are much more moving and deep than this. All this movie does is try to show that the villain, The Joker, from the comics is a distraught weak man. But in reality the joker from the comics is anything but that. He was crazy but a compete mastermind. The 11 Oscar nominations are idiotic because this mo...",i wa veri excit about thi movi when it came out in theater and after all the rave review i wa even more excit i never got a chanc to watch in the theater and in veri glad i didn thi movi wa 2 hour that felt like 4 of flat bore plot liter noth happen in the movi all it is a veri mental ill insecur man talk to a therapist laugh and kill peopl arthur laugh is terribl and annoy me throughout the whole movi arthur ha no depth or person thi movi wa so bore i start fall asleep anyon who thing those movi is a deep and meaning masterpiec clearli ha not seen other move i can list off so mani other move that are much more move and deep than thi all thi movi doe is tri to show that the villain the joke from the comic is a distraught weak man but in realiti the joke from the comic is anyth but that he wa crazi but a compet master the 11 oscar nomin are idiot becaus thi movi is anyth but oscar worthi,Negative
97,Derivative and Uninspired,"There is doing an homage and then there is borrowing wholesale from other material. This film is little more than a remake of ""Taxi Driver"" with elements (most notably the end) borrowed from ""Network"". In the case of ""Taxi Driver"" there are whole lines of dialogue, characters and scenes that are lifted from it and placed in this movie. Except the execution isn't as polished, the acting not of the same caliber and the story not as original.\n\nWatch ""Taxi Driver"" and ""Network"", this film was made 40 years earlier and was made better.",there is do an homag and then there is borrow wholesal from other materi thi film is littl more than a make of taxi driver with element most notabl the end borrow from network in the case of taxi driver there are whole line of dialogu charact and scene that are lift from it and place in thi movi except the execut isn as polish the act not of the same calibr and the stori not as origin watch taxi driver and network thi film wa made 40 year earlier and wa made better,Negative
98,Better if didn't saw,"Disturbing. Just got out of the movie. My humor was much better before seeing it. At first feel pity for the guy suffering, but he lacks charm and then well he is just a killer. Heath Ledger was far better.",disturb just got out of the movi my humor wa much better befor see it at first feel piti for the guy suffer but he lack charm and then well he is just a killer heath ledger wa far better,Negative
99,Hats off to Joaquin phoenix,What a legendary character and what a legendary performance by the actor. I was not able to move on from the Heath ledger performance but this movie is totally worth it. This movie deserves an oscar. It showcased the never before seen origin of The Joker himself and you will love it.,what a legendari charact and what a legendari perform by the actor i wa not abl to move on from the heath ledger perform but thi movi is total worth it thi movi deserv an oscar it showcas the never befor seen origin of the joke himself and you will love it,Positive
100,Overrated,"Not sure what kind of message this movie is supposed to send. Or is it supposed to be just fun, because it's not. I don't sympathize with the main character at all, throughout the whole movie he would get on my nerves. I was waiting entire time for the plot to start revolving and when it finally did, the movie was over and left me with a feeling that I've waisted two hours of my life on nothing. For a movie with this high rating I expected to see something fresh and inspirational and somehow it seems to me all the scenes and acting I've seen in this movie I saw a thousand times in bunch of other movies, like it was cliche after cliche. Yawn festival.",not sure what kind of messag thi movi is suppos to send or is it suppos to be just fun becaus it not i dont sympath with the main charact at all throughout the whole movi he would get on my nerv i wa wait entir time for the plot to start revolv and when it final did the movi wa over and left me with a feel that give waist two hour of my life on noth for a movi with thi high rate i expect to see someth fresh and inspir and somehow it seem to me all the scene and act give seen in thi movi i saw a thousand time in bunch of other move like it wa calech after calech yawn festiv,Negative
101,Masterpiece *Movie Of the Year* Best Actor - Joaquin Phoenix*,"Wow I honestly gotta tell you, it's one of the best movies I've seen in years. All from the cinematography, thumping and sadden soundtrack, all the way to the OMG performance by Joaquin Phoenix, it's dark, it's evolving, twisting and wow just you can feel deep down to your bones his emotions portraying the Joker.\n\nJust alone watching hearing The Jokers laugh is so twisty and evil and you could hear his sadness coming out from his mouth. You could hear the hours of practice just on the laugh alone and his method acting is perfectly on point along with his subtle gestures and dance that is done perfectly as the Joker should be. This movie has all the psychological twisting that made you believed and immersed into the movie, I was totally shocked and overwhelmed by everything even after I left the cinema. Just mind-blowned.\n\nWhen I was watching in just now in the cinema, more than half the cinema cheered and applauded on certain scenes. And almost the entire patron stayed until th...",now i honestli gutta tell you it one of the best move give seen in year all from the cinematographi thump and sadden soundtrack all the way to the org perform by joaquin phoenix it dark it revolv twist and now just you can feel deep down to your bone hi emot portray the joke just alon watch hear the joke laugh is so twist and evil and you could hear hi sad come out from hi mouth you could hear the hour of practic just on the laugh alon and hi method act is perfectli on point along with hi subtl gestur and danc that is done perfectli as the joke should be thi movi ha all the psycholog twist that made you believ and immers into the movi i wa total shock and overwhelm by everyth even after i left the cinema just mindblown when i wa watch in just now in the cinema more than half the cinema cheer and applaus on certain scene and almost the entir patron stay until the last credit if u look close even joke costum were revolv and chang from time to time base on hi journey and experienc and...,Positive
102,Dumbest DC movie yet,"This has to be the dumbest DC movie yet. Way to miss the opportunity. First the Joker character is all wrong, this depicts Joker as unintelligent person with no wit. WRONG Joker maybe insane but his wit and intelligence is what makes him the master criminal that keeps batman on his toes. His ability to always find way out of being locked up was not demonstrated at all. The bar was set high with Joker in suicide squad and they didn't come close to the epic legend.",thi ha to be the dullest do movi yet way to miss the opportun first the joke charact is all wrong thi depict joke as intellig person with no wit wrong joke mayb insan but hi wit and intellig is what make him the master crimin that keep batman on hi toe hi abil to alway find way out of be lock up wa not demonstr at all the bar wa set high with joke in suicid squad and they didn come close to the epic legend,Negative
103,Joaquin Phoenix delivers but the story doesn't,"While I enjoyed the film, it felt pretty short. When ""The End"" appeared on the screen I couldn't help but think - ""That's it?""\n\nJoaquin Phoenix was fantastic with his new take on the Joker, and it's mesmerizing to see his facial expressions keep changing. And his Joker laugh is unique - sinister and full of Joker's madness.\n\nHowever despite some minor plot twists, most of interesting bits in the film have already been shown in the trailers. Don't expect much action like in The Dark Knight trilogy. Despite the much hyped gun violence, there are less guns in this movie than in any other Batman flick.\n\nThis is not a bad film, but it's not a great one either. Watch it only for Joaquin's performance.",while i enjoy the film it felt pretti short when the end appear on the screen i couldn help but think that it joaquin phoenix wa fantast with hi new take on the joke and it mesmer to see hi facial express keep chang and hi joke laugh is uniqu sinist and full of joke mad howev despit some minor plot twist most of interest bit in the film have alreadi been shown in the trailer dont expect much action like in the dark knight trilog despit the much hope gun violenc there are less gun in thi movi than in ani other batman flick thi is not a bad film but it not a great one either watch it onli for joaquin perform,Neutral
104,Overacting Galore,"I was underwhelmed - to say it friendly - but not surprised by the fact. Because Hollywood has lost its magic looong time ago. IMHO no. bo. dy gives a damn about Darth Vader's Childhood or Joker's relationship with his mother. All we want for centuries is a proper boogeyman. If you overpaid LaLaLand-Schmocks won't jump from the stupid Prequel-explains-it-all-train - please give us at least solid filmmaking. Joker is a mess. No story, no finesse, no build-up, no surprises, no ideas. But a load of layman-psychology that should make even 12y olds roll their eyes; a cacophony of more or less unrelated scenes; cheesy taxi-driver-moments without any impact; massive overacting by Phoenix and no subtle sinister Joker moments except for the two second Elevator-Scene we all know (and love) from the trailer. rating 9.0? A joke. Heath Ledger, I miss you.",i wa underwhelm to say it friendli but not surpris by the fact becaus hollywood ha lost it magic long time ago who no to dy give a damn about earth order childhood or joke relationship with hi mother all we want for centuri is a proper boogeyman if you overlaid lalalandschmock wont jump from the stupid prequelexplainsitalltrain pleas give us at least solid filmmak joke is a mess no stori no finess no build no surpris no idea but a load of laymanpsycholog that should make even by old roll their eye a cacophoni of more or less unrel scene chees taxidrivermo without ani impact massiv oper by phoenix and no subtl sinist joke moment except for the two second elevatorscen we all know and love from the trailer rate 90 a joke heath ledger i miss you,Negative
105,Not the Joker at all,"This movie represents everything wrong with Hollywood. Take an existing thing, make vast changes to it to the point it is no longer the thing it was, yet still call it the same thing to profit off its popularity.\n\nThis story is of a loser at the end of his ropes. His life was sad, pathetic and he is powerless and thus...of course, lashes out at the world for it. This is a millennial's story. A person that blames everyone else, is a victim. There is no strength in this character. He isnt scary. He isnt a thing to be feared. This so called Joker, because he is without strength, knowledge could never be what the Joker actually is. Hard to kill, vastly intelligent and a criminal master-mind.\n\nBesides undermining every single thing that is the Joker's history, it makes a mockery of the Batman universe. This ""man"", who has no criminal history, cant fight worth a damn and is a low-IQ nit-wit, can just magically become not only Batmans greatest enemy, but can hold his own against the m...",thi movi repres everyth wrong with hollywood take an exist thing make vast chang to it to the point it is no longer the thing it wa yet still call it the same thing to profit off it popular thi stori is of a lower at the end of hi rope hi life wa sad pathet and he is powerless and thu cours lash out at the world for it thi is a millenni stori a person that blame everyon els is a victim there is no strength in thi charact he isn scar he isn a thing to be fear thi so call joke becaus he is without strength knowledg could never be what the joke actual is hard to kill lastli intellig and a crimin master besid undermin everi singl thing that is the joke histori it make a monkey of the batman univers thi man who ha no crimin histori can fight worth a damn and is a lower nitric can just magic becom not onli batman greatest enemi but can hold hi own against the most power mob boss and villain in the do univers whi becaus he rate the world becaus hi life suck most at thi point will have gon...,Negative
106,Well filmed but empty,"What can I say about it that hasn't already been said? It's not a terrible film, but it's not a great (or even a really good one) either. The technical aspects are great. The score and cinematography are really good. Many individual scenes are also good. But as a whole, it just feels unnecessary. Not just that, but tone deaf as well. What it's trying to say about mental illness is problematic. Why? Because it's not really sure what it's trying to say or if it's even trying to say anything about it at all. Instead, it was added in there because, well, it's easy right? Joaquin Phoenix really does excel in many scenes of the film, but I'm not sure I would want him winning an Oscar for this. Overall, it's also just not that interesting. It's kind of... boring at times. And for a Joker film to be boring? That's a crucial offense. And I guess everyone is entitled to their opinion, but I seriously wonder if those people calling this a ""masterpiece"" have even seen Taxi Driver or The King o...",what can i say about it that hasn alreadi been said it not a terribl film but it not a great or even a realli good one either the technic aspect are great the score and cinematographi are realli good mani individu scene are also good but as a whole it just feel unnecessari not just that but tone deaf as well what it tri to say about mental ill is problemat whi becaus it not realli sure what it tri to say or if it even tri to say anyth about it at all instead it wa ad in there becaus well it easi right joaquin phoenix realli doe expel in mani scene of the film but in not sure i would want him win an oscar for thi overal it also just not that interest it kind of bore at time and for a joke film to be bore that a crucial offens and i guess everyon is entitl to their opinion but i serious wonder if those peopl call thi a masterpiec have even seen taxi driver or the king of comedi,Neutral
107,Horribly politically driven,,,Neutral
108,Joker: an outsider before a criminal,,,Neutral
109,Extremely pointless movie,Ratings for acting are overrated. This movie is terrible. I watched a man smoke 112 cigarettes and do a fake laugh for two hour,rate for act are oper thi movi is terribl i watch a man smoke 112 cigarett and do a face laugh for two hour,Negative
110,JOKER - IT'S ON YOU.,,,Negative
111,Cinematic Masterpiece,"Acting, Cinematography, Music, Screenplay, Costumes, Gotham etc everything is 10/10.Oscar worthy performanceby by Joaquin Phoenix.Amazing directing by Todd Phillips & amazing cinematography by Lawrence Sher.",act cinematographi music screenplay costum gothic etc everyth is 1010oscar worthi perform by joaquin phoenixamaz direct by told phillip amaz cinematographi by lawrenc her,Positive
112,lose of both time and money,"This was one of the worse movies I have seen. It was over acted by all actors, the story dragged on and on. I saw this movie for a bargain matinee and thought I was ripped off! The only good part was the comfy chairs and the half priced snacks! Phoenix was so over the top and not in a good way. PHOENIX STOP DANCING!!! Deniro played another version of all the parts he has played in the past few years! 2 stars for the chair and 1 star for the snacks, -1 stars for wasting my day!",thi wa one of the wors move i have seen it wa over act by all actor the stori drag on and on i saw thi movi for a bargain main and thought i wa grip off the onli good part wa the come chair and the half price snack phoenix wa so over the top and not in a good way phoenix stop danc denisov play anoth version of all the part he ha play in the past few year 2 star for the chair and 1 star for the snack 1 star for wast my day,Negative
113,Clear the Shelf for the Oscars,"I am not a Batman fan nor am I particularly fond of Joaquin Phoenix, but this movie was truly exceptional. It started slow but built to a viscerally satisfying crescendo. I never thought I would be rooting for the Joker, but found that I did so throughout the movie. The Joker's pain was so palpable. I am filling out my Oscar pool card right now.\n\nPS This movie is dark and violent and decidedly not a super hero movie. Leave the kids at home.",i am not a batman fan nor am i particularli fond of joaquin phoenix but thi movi wa truli except it start slow but built to a viscer satisfi crescent i never thought i would be foot for the joke but found that i did so throughout the movi the joke pain wa so palpabl i am fill out my oscar pool card right now is thi movi is dark and violent and decidedli not a super hero movi leav the kiss at home,Positive
114,As grotesque as a clown's smile,"My husband and I went to see this film and found it extremely depressing. Moreover, everything is caricatured. What could be more normal, you might say, given that it was a depicting the life of a comic book clown? Christopher Nolan, the director of the famous Batman trilogy, said before it was produced that this movie would be useless. Simply because when it comes to horror, the less you show, the scarier it is. If you're told that there is a giant monster in the woods and it eats people, you'll laugh and not believe it or you'll imagine the most horrible monster there is; the most horrible according to you! What others show us is never as horrible for us as what we imagine. Here, to make things really awful, we sink into the worst possible melodrama. As if psychopaths had all been mistreated during their childhood, mocked in adolescence, misunderstood in adulthood without ever having anyone to help them effectively! But no, the vast majority of them were born with a missing bolt ...",my husband and i went to see thi film and found it extrem depress moreov everyth is caricatur what could be more normal you might say given that it wa a depict the life of a comic book clown christoph woman the director of the famou batman trilog said befor it wa produc that thi movi would be useless simpli becaus when it come to horror the less you show the career it is if your told that there is a giant monster in the wood and it eat peopl you laugh and not believ it or you imagin the most horribl monster there is the most horribl accord to you what other show us is never as horribl for us as what we imagin here to make thing realli aw we sink into the worst possibl melodrama as if psychopath had all been mistreat dure their childhood mock in adolesc misunderstood in adulthood without ever have anyon to help them effect but no the vast major of them were born with a miss bolt in their head someth wa wrong in them from the start here the director want to make us cri by portray rou...,Neutral
115,Instant cult movie ??,"Masterpiece, one of the best films of the decade, it has it all, acting, directing, setting, photography, soundtrack, in a few years this film will be a cult one.",masterpiec one of the best film of the decad it ha it all act direct set photographi soundtrack in a few year thi film will be a cult one,Negative
116,This movie is ridiculous and has no complexities that make a movie great,,,Negative
117,fell asleep,It's just that boring. really can't understand what the hype is all about??!,it just that bore realli can understand what the hope is all about,Negative
118,Don't fall for the hype,,,Negative
119,Overrated and boring,"One of the worst movies I have ever seen. Ok, maybe not but they hype surrounding the movie killed it for me. It's not a masterpiece but an ok film. Why the one star? Way too many 10's! For once I actually agree with the actual critics who graded this film.",one of the worst move i have ever seen ok mayb not but they hope surround the movi kill it for me it not a masterpiec but an ok film whi the one star way too mani wa for onc i actual agre with the actual critic who grade thi film,Negative
120,"Went into this blind, and i didnt enjoy it at all really. disappointing.","I didnt really know much about this movie. I hadnt seen any trailers for it or anything but i decided to give it a go while i was stoned with my mate Steve. we actually got tickets for a different movie but couldnt find our screen so we ended up in the screen showing The Joker. It wasnt til about 45 minutes in that I realised this movie is no good. I couldnt understand a lot of what certain actors were saying it was really mumbled and low quality. The story is so confusing its hard to keep track of who's who. There's a lot of scenes where literally nothing happens except for people talking or walking down corridors. I whispered to my mate Steve about an hour in to see if he thought it was as bad as i did, but he had fallen asleep.\n\nThe good thing about the movie is the acting. the geezer who plays the joker is very good at it. Also there is a few very funny scenes near the end but other than that this movie is overly long, too complex, not enough action, and poor directing.",i didn realli know much about thi movi i hadn seen ani trailer for it or anyth but i decid to give it a go while i wa stone with my mate steve we actual got ticket for a differ movi but couldn find our screen so we end up in the screen show the joke it want til about 45 minut in that i realis thi movi is no good i couldn understand a lot of what certain actor were say it wa realli mumbl and low qualiti the stori is so confus it hard to keep track of who who there a lot of scene where liter noth happen except for peopl talk or walk down corridor i whisper to my mate steve about an hour in to see if he thought it wa as bad as i did but he had fallen asleep the good thing about the movi is the act the deeper who play the joke is veri good at it also there is a few veri funni scene near the end but other than that thi movi is overlay long too complex not enough action and poor direct,Negative
121,Great,,,Positive
122,Very Disappointing,"Film was directed and produced poorly. Opportunity to take advantage of the incredible Joaquin Phoenix was blown.\n\nGratuitous violence. Misplaced violence. Wrong approach to joker.\n\nDisappointing connection to viewer. Film was wandering for long periods. Tons of footage that should have hit the cutting room floor.\n\nI really wanted an stirringly creepy connection with Joaquin as Joker. It wasn't there.\n\nIf you are looking for Joaquin moment like in Gladiator, you will be very disappointed.",film wa direct and produc poorli opportun to take advantag of the incred joaquin phoenix wa blown gratuit violenc misplac violenc wrong approach to joke disappoint connect to viewer film wa wander for long period ton of forag that should have hit the cut room floor i realli want an stir creep connect with joaquin as joke it want there if you are look for joaquin moment like in gladiat you will be veri disappoint,Negative
123,"By far the best DC movie to date, Joaquin Phoenix was perfect.","Wow, what a movie! I have to admit, When I first heard Joaquin Phoenix was going to be the joker, I was surprised. I wasn't sure how he was going to pull it off. I was hoping it wasn't going to be another cheesy rendition full of fluff and unrealistic explanations of how the Joker came to be. One where my (adult) son wouldn't have to keep nudging me to wake me up. I was pleasantly surprised on well Todd Phillips' version played and Joaquin's acting was superb. You could feel the anguish his character was going through right up to the point he lost his mind. Just an excellent, well acted movie that you almost forget is derived from a DC comic.",now what a movi i have to admit when i first heard joaquin phoenix wa go to be the joke i wa surpris i want sure how he wa go to pull it off i wa hope it want go to be anoth chees condit full of fluff and realist explan of how the joke came to be one where my adult son wouldn have to keep nudg me to wake me up i wa pleasantli surpris on well told phillip version play and joaquin act wa superb you could feel the anguish hi charact wa go through right up to the point he lost hi mind just an excel well act movi that you almost forget is deriv from a do comic,Positive
